rank,title,artist
1,Last Night,Morgan Wallen
2,Fast Car,Luke Combs
3,Meltdown,Travis Scott Featuring Drake
4,Cruel Summer,Taylor Swift
5,FE!N,Travis Scott Featuring Playboi Carti
6,Calm Down,Rema & Selena Gomez
7,Fukumean,Gunna
8,Barbie World,Nicki Minaj & Ice Spice With Aqua
9,Vampire,Olivia Rodrigo
10,Dance The Night,Dua Lipa
11,I Know ?,Travis Scott
12,Flowers,Miley Cyrus
13,All My Life,Lil Durk Featuring J. Cole
14,Hyaena,Travis Scott
15,Snooze,SZA
16,Thank God,Travis Scott
17,Topia Twins,Travis Scott Featuring Rob49 & 21 Savage
18,K-POP,"Travis Scott, Bad Bunny & The Weeknd"
19,My Eyes,Travis Scott
20,Karma,Taylor Swift Featuring Ice Spice
21,Try That In A Small Town,Jason Aldean
22,What Was I Made For?,Billie Eilish
23,Modern Jam,Travis Scott Featuring Teezo Touchdown
24,Need A Favor,Jelly Roll
25,Delresto (Echoes),Travis Scott & Beyonce
26,Telekinesis,Travis Scott Featuring SZA & Future
27,Sirens,Travis Scott
28,God's Country,Travis Scott
29,Kill Bill,SZA
30,Seven,Jung Kook Featuring Latto
31,Anti-Hero,Taylor Swift
32,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
33,Religiously,Bailey Zimmerman
34,Skitzo,Travis Scott Featuring Young Thug
35,Chemical,Post Malone
36,Circus Maximus,Travis Scott Featuring The Weeknd & Swae Lee
37,Thinkin' Bout Me,Morgan Wallen
38,Til Further Notice,Travis Scott Featuring James Blake & 21 Savage
39,Favorite Song,Toosii
40,Mourning,Post Malone
41,Cupid,Fifty Fifty
42,Ella Baila Sola,Eslabon Armado X Peso Pluma
43,In Your Love,Tyler Childers
44,Dial Drunk,Noah Kahan With Post Malone
45,Next Thing You Know,Jordan Davis
46,Lost Forever,Travis Scott Featuring Westside Gunn
47,"You, Me, & Whiskey",Justin Moore & Priscilla Block
48,Love You Anyway,Luke Combs
49,Looove,Travis Scott Featuring Kid Cudi
50,Thought You Should Know,Morgan Wallen
51,Bury Me In Georgia,Kane Brown
52,La Bebe,Yng Lvcas x Peso Pluma
53,Parasail,Travis Scott Featuring Yung Lean & Dave Chappelle
54,Search & Rescue,Drake
55,Jealousy,Offset & Cardi B
56,Enough Is Enough,Post Malone
57,Put It On Da Floor Again,Latto Featuring Cardi B
58,Deli,Ice Spice
59,Un x100to,Grupo Frontera X Bad Bunny
60,LaLa,Myke Towers
61,Where She Goes,Bad Bunny
62,Princess Diana,Ice Spice & Nicki Minaj
63,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
64,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
65,Area Codes,Kaliii
66,What It Is (Block Boy),Doechii Featuring Kodak Black
67,Something Real,Post Malone
68,Overdrive,Post Malone
69,Peaches & Eggplants,Young Nudy Featuring 21 Savage
70,Sabor Fresa,Fuerza Regida
71,Watermelon Moonshine,Lainey Wilson
72,Your Heart Or Mine,Jon Pardi
73,Eyes Closed,Ed Sheeran
74,Daylight,David Kushner
75,Tulum,Peso Pluma & Grupo Frontera
76,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
77,Super Shy,NewJeans
78,Speed Drive,Charli XCX
79,White Horse,Chris Stapleton
80,On The Radar Freestyle,Drake & Central Cee
81,Stand By Me,Lil Durk Featuring Morgan Wallen
82,Fragil,Yahritza y Su Esencia x Grupo Frontera
83,Everything I Love,Morgan Wallen
84,Shake Sumn,DaBaby
85,TQM,Fuerza Regida
86,Popular,"The Weeknd, Playboi Carti & Madonna"
87,Too Cool To Die,Post Malone
88,Don't Understand,Post Malone
89,Aqui Te Espero,Ivan Cornejo
90,Novacandy,Post Malone
91,Truck Bed,HARDY
92,I'm Just Ken,Ryan Gosling
93,Jaded,Miley Cyrus
94,Heartbroken,"Diplo, Jessie Murph & Polo G"
95,Memory Lane,Old Dominion
96,Oh U Went,Young Thug Featuring Drake
97,ICU,Coco Jones
98,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
99,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
100,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
