rank,title,artist
1,Rich Men North Of Richmond,Oliver Anthony Music
2,Fast Car,Luke Combs
3,Last Night,Morgan Wallen
4,Cruel Summer,Taylor Swift
5,Calm Down,Rema & Selena Gomez
6,Vampire,Olivia Rodrigo
7,Fukumean,Gunna
8,Dance The Night,Dua Lipa
9,Barbie World,Nicki Minaj & Ice Spice With Aqua
10,Bad Idea Right?,Olivia Rodrigo
11,Flowers,Miley Cyrus
12,Snooze,SZA
13,All My Life,Lil Durk Featuring J. Cole
14,Karma,Taylor Swift Featuring Ice Spice
15,Paint The Town Red,Doja Cat
16,What Was I Made For?,Billie Eilish
17,Need A Favor,Jelly Roll
18,Religiously,Bailey Zimmerman
19,Meltdown,Travis Scott Featuring Drake
20,Anti-Hero,Taylor Swift
21,Kill Bill,SZA
22,Mi Ex Tenia Razon,Karol G
23,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
24,Thinkin' Bout Me,Morgan Wallen
25,Try That In A Small Town,Jason Aldean
26,Cupid,Fifty Fifty
27,I Know ?,Travis Scott
28,Dial Drunk,Noah Kahan With Post Malone
29,Qlona,Karol G & Peso Pluma
30,Seven,Jung Kook Featuring Latto
31,Love You Anyway,Luke Combs
32,Favorite Song,Toosii
33,Ella Baila Sola,Eslabon Armado X Peso Pluma
34,Bury Me In Georgia,Kane Brown
35,Next Thing You Know,Jordan Davis
36,Telekinesis,Travis Scott Featuring SZA & Future
37,FE!N,Travis Scott Featuring Playboi Carti
38,Watermelon Moonshine,Lainey Wilson
39,La Bebe,Yng Lvcas x Peso Pluma
40,Search & Rescue,Drake
41,K-POP,"Travis Scott, Bad Bunny & The Weeknd"
42,Chemical,Post Malone
43,Put It On Da Floor Again,Latto Featuring Cardi B
44,LaLa,Myke Towers
45,S91,Karol G
46,Blank Space,Taylor Swift
47,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
48,What It Is (Block Boy),Doechii Featuring Kodak Black
49,Daylight,David Kushner
50,"You, Me, & Whiskey",Justin Moore & Priscilla Block
51,Un x100to,Grupo Frontera X Bad Bunny
52,Supposed To Be Loved,"DJ Khaled, Lil Baby, Future & Lil Uzi Vert"
53,White Horse,Chris Stapleton
54,Peaches & Eggplants,Young Nudy Featuring 21 Savage
55,The Painter,Cody Johnson
56,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
57,Where She Goes,Bad Bunny
58,Your Heart Or Mine,Jon Pardi
59,Deli,Ice Spice
60,Princess Diana,Ice Spice & Nicki Minaj
61,Truck Bed,HARDY
62,Tulum,Peso Pluma & Grupo Frontera
63,Sabor Fresa,Fuerza Regida
64,In Your Love,Tyler Childers
65,Area Codes,Kaliii
66,Everything I Love,Morgan Wallen
67,Popular,"The Weeknd, Playboi Carti & Madonna"
68,Una Noche En Medellin (Remix),"Karol G, Cris Mj & Ryan Castro"
69,My Eyes,Travis Scott
70,Shake Sumn,DaBaby
71,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
72,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
73,Topia Twins,Travis Scott Featuring Rob49 & 21 Savage
74,Jaded,Miley Cyrus
75,Save Me,Jelly Roll With Lainey Wilson
76,Stand By Me,Lil Durk Featuring Morgan Wallen
77,Angels Don't Always Have Wings,Thomas Rhett
78,Oh U Went,Young Thug Featuring Drake
79,Super Shy,NewJeans
80,Speed Drive,Charli XCX
81,TQM,Fuerza Regida
82,Aint Gotta Dollar,Oliver Anthony Music
83,Oki Doki,Karol G
84,Mourning,Post Malone
85,Jealousy,Offset & Cardi B
86,Pretty Little Poison,Warren Zeiders
87,Dawns,Zach Bryan Featuring Maggie Rogers
88,Oklahoma Smokeshow,Zach Bryan
89,Memory Lane,Old Dominion
90,ICU,Coco Jones
91,See You Again,"Tyler, The Creator Featuring Kali Uchis"
92,Heartbroken,"Diplo, Jessie Murph & Polo G"
93,Lagunas,Peso Pluma & Jasiel Nunez
94,Rubicon,Peso Pluma
95,Amargura,Karol G
96,Love Me Again,V
97,Thank God,Travis Scott
98,Mona Lisa,Dominic Fike
99,Lose Control,Teddy Swims
100,But I Got A Beer In My Hand,Luke Bryan
