rank,title,artist
1,Vampire,Olivia Rodrigo
2,Paint The Town Red,Doja Cat
3,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
4,Fast Car,Luke Combs
5,Cruel Summer,Taylor Swift
6,Last Night,Morgan Wallen
7,Bad Idea Right?,Olivia Rodrigo
8,Snooze,SZA
9,Fukumean,Gunna
10,Dance The Night,Dua Lipa
11,Get Him Back!,Olivia Rodrigo
12,Calm Down,Rema & Selena Gomez
13,All-American Bitch,Olivia Rodrigo
14,Bongos,Cardi B & Megan Thee Stallion
15,Barbie World,Nicki Minaj & Ice Spice With Aqua
16,The Grudge,Olivia Rodrigo
17,Flowers,Miley Cyrus
18,All My Life,Lil Durk Featuring J. Cole
19,Making The Bed,Olivia Rodrigo
20,Logical,Olivia Rodrigo
21,Religiously,Bailey Zimmerman
22,Rich Men North Of Richmond,Oliver Anthony Music
23,Lacy,Olivia Rodrigo
24,Ballad Of A Homeschooled Girl,Olivia Rodrigo
25,Love Is Embarrassing,Olivia Rodrigo
26,Used To Be Young,Miley Cyrus
27,Thinkin' Bout Me,Morgan Wallen
28,Need A Favor,Jelly Roll
29,Kill Bill,SZA
30,Pretty Isn't Pretty,Olivia Rodrigo
31,Anti-Hero,Taylor Swift
32,What Was I Made For?,Billie Eilish
33,Peaches & Eggplants,Young Nudy Featuring 21 Savage
34,Hey Driver,Zach Bryan Featuring The War And Treaty
35,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
36,Karma,Taylor Swift Featuring Ice Spice
37,Meltdown,Travis Scott Featuring Drake
38,Dial Drunk,Noah Kahan With Post Malone
39,Teenage Dream,Olivia Rodrigo
40,Watermelon Moonshine,Lainey Wilson
41,I Know ?,Travis Scott
42,Qlona,Karol G & Peso Pluma
43,Try That In A Small Town,Jason Aldean
44,Seven,Jung Kook Featuring Latto
45,Tourniquet,Zach Bryan
46,What It Is (Block Boy),Doechii Featuring Kodak Black
47,Single Soon,Selena Gomez
48,Daylight,David Kushner
49,Love You Anyway,Luke Combs
50,Bury Me In Georgia,Kane Brown
51,Slow Dancing,V
52,Spotless,Zach Bryan Featuring The Lumineers
53,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
54,Mi Ex Tenia Razon,Karol G
55,East Side Of Sorrow,Zach Bryan
56,Save Me,Jelly Roll With Lainey Wilson
57,LaLa,Myke Towers
58,Good Good,"Usher, Summer Walker & 21 Savage"
59,In Your Love,Tyler Childers
60,Bipolar,Peso Pluma x Jasiel Nunez x Junior H
61,White Horse,Chris Stapleton
62,Last Time I Saw You,Nicki Minaj
63,Telekinesis,Travis Scott Featuring SZA & Future
64,FE!N,Travis Scott Featuring Playboi Carti
65,Popular,"The Weeknd, Playboi Carti & Madonna"
66,SkeeYee,Sexyy Red
67,Everything I Love,Morgan Wallen
68,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
69,Angels Don't Always Have Wings,Thomas Rhett
70,Lose Control,Teddy Swims
71,Deli,Ice Spice
72,Tulum,Peso Pluma & Grupo Frontera
73,Truck Bed,HARDY
74,Sabor Fresa,Fuerza Regida
75,Fear And Friday's,Zach Bryan
76,El Dorado,Zach Bryan
77,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
78,Oh U Went,Young Thug Featuring Drake
79,Put It On Da Floor Again,Latto Featuring Cardi B
80,Where She Goes,Bad Bunny
81,Ticking,Zach Bryan
82,Summertime's Close,Zach Bryan
83,Dawns,Zach Bryan Featuring Maggie Rogers
84,Oklahoma Smokeshow,Zach Bryan
85,Call Your Friends,Rod Wave
86,Overtime,Zach Bryan
87,Pretty Little Poison,Warren Zeiders
88,Come See Me,Rod Wave
89,El Amor de Su Vida,Grupo Frontera & Grupo Firme
90,Holy Roller,Zach Bryan Featuring Sierra Ferrell
91,Girl In Mine,Parmalee
92,Smaller Acts,Zach Bryan
93,Fight The Feeling,Rod Wave
94,K-POP,"Travis Scott, Bad Bunny & The Weeknd"
95,Summer Too Hot,Chris Brown
96,Lagunas,Peso Pluma & Jasiel Nunez
97,Sittin' On Top Of The World,Burna Boy
98,Rubicon,Peso Pluma
99,TQM,Fuerza Regida
100,Amargura,Karol G
