rank,title,artist
1,Rockin' Around The Christmas Tree,Brenda Lee
2,All I Want For Christmas Is You,Mariah Carey
3,Jingle Bell Rock,Bobby Helms
4,Last Christmas,Wham!
5,Lovin On Me,Jack Harlow
6,A Holly Jolly Christmas,Burl Ives
7,Cruel Summer,Taylor Swift
8,It's The Most Wonderful Time Of The Year,Andy Williams
9,Snooze,SZA
10,Paint The Town Red,Doja Cat
11,Feliz Navidad,Jose Feliciano
12,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
13,Underneath The Tree,Kelly Clarkson
14,Sleigh Ride,The Ronettes
15,The Christmas Song (Merry Christmas To You),Nat King Cole
16,Greedy,Tate McRae
17,Santa Tell Me,Ariana Grande
18,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
19,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
20,Water,Tyla
21,Christmas (Baby Please Come Home),Darlene Love
22,Last Night,Morgan Wallen
23,Deck The Halls,Nat King Cole
24,Blue Christmas,Elvis Presley
25,It's Beginning To Look A Lot Like Christmas,Michael Buble
26,Thinkin' Bout Me,Morgan Wallen
27,You're Losing Me (From The Vault),Taylor Swift
28,Jingle Bells,Frank Sinatra With Orchestra Conducted By Gordon Jenkins
29,Agora Hills,Doja Cat
30,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
31,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
32,Fast Car,Luke Combs
33,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
34,Santa Claus Is Comin' To Town,Jackson 5
35,Run Rudolph Run,Chuck Berry
36,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
37,Fukumean,Gunna
38,Lil Boo Thang,Paul Russell
39,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
40,Need A Favor,Jelly Roll
41,First Person Shooter,Drake Featuring J. Cole
42,Save Me,Jelly Roll With Lainey Wilson
43,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
44,Stick Season,Noah Kahan
45,Vampire,Olivia Rodrigo
46,Used To Be Young,Miley Cyrus
47,Wonderful Christmastime,Paul McCartney
48,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
49,What Was I Made For?,Billie Eilish
50,Little Saint Nick,The Beach Boys
51,Houdini,Dua Lipa
52,Lose Control,Teddy Swims
53,White Horse,Chris Stapleton
54,Good Good,"Usher, Summer Walker & 21 Savage"
55,My Love Mine All Mine,Mitski
56,IDGAF,Drake Featuring Yeat
57,My House,Beyonce
58,I Know ?,Travis Scott
59,Monaco,Bad Bunny
60,World On Fire,Nate Smith
61,On My Mama,Victoria Monet
62,Pretty Little Poison,Warren Zeiders
63,Harley Quinn,Fuerza Regida & Marshmello
64,Surround Sound,JID Featuring 21 Savage & Baby Tate
65,500lbs,Lil Tecca
66,You Broke My Heart,Drake
67,Can't Catch Me Now,Olivia Rodrigo
68,Strangers,Kenya Grace
69,Wild Ones,Jessie Murph & Jelly Roll
70,Get Him Back!,Olivia Rodrigo
71,Exes,Tate McRae
72,Standing Next To You,Jung Kook
73,Everything I Love,Morgan Wallen
74,Truck Bed,HARDY
75,Qlona,Karol G & Peso Pluma
76,Segun Quien,Maluma & Carin Leon
77,The Painter,Cody Johnson
78,Virginia Beach,Drake
79,"Everywhere, Everything",Noah Kahan With Gracie Abrams
80,Great Gatsby,Rod Wave
81,Can't Have Mine,Dylan Scott
82,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
83,Where The Wild Things Are,Luke Combs
84,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
85,Burn It Down,Parker McCollum
86,Hey Driver,Zach Bryan Featuring The War And Treaty
87,Northern Attitude,Noah Kahan With Hozier
88,Save Me The Trouble,Dan + Shay
89,Perro Negro,Bad Bunny & Feid
90,El Amor de Su Vida,Grupo Frontera & Grupo Firme
91,But I Got A Beer In My Hand,Luke Bryan
92,3D,Jung Kook & Jack Harlow
93,Mmhmm,BigXthaPlug
94,Meltdown,Travis Scott Featuring Drake
95,Bad Idea Right?,Olivia Rodrigo
96,Slime You Out,Drake Featuring SZA
97,Rich Men North Of Richmond,Oliver Anthony Music
98,Soak City (Do It),310babii
99,Turks & Caicos,Rod Wave Featuring 21 Savage
100,Feather,Sabrina Carpenter
