rank,title,artist
1,All I Want For Christmas Is You,Mariah Carey
2,Rockin' Around The Christmas Tree,Brenda Lee
3,Jingle Bell Rock,Bobby Helms
4,Last Christmas,Wham!
5,A Holly Jolly Christmas,Burl Ives
6,It's The Most Wonderful Time Of The Year,Andy Williams
7,Feliz Navidad,Jose Feliciano
8,Anti-Hero,Taylor Swift
9,The Christmas Song (Merry Christmas To You),Nat King Cole
10,Unholy,Sam Smith & Kim Petras
11,Kill Bill,SZA
12,Santa Tell Me,Ariana Grande
13,Sleigh Ride,The Ronettes
14,Underneath The Tree,Kelly Clarkson
15,Christmas (Baby Please Come Home),Darlene Love
16,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
17,Deck The Halls,Nat King Cole
18,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
19,I'm Good (Blue),David Guetta & Bebe Rexha
20,Jingle Bells,Frank Sinatra With Orchestra Conducted By Gordon Jenkins
21,Rich Flex,Drake & 21 Savage
22,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
24,Blue Christmas,Elvis Presley
25,It's Beginning To Look A Lot Like Christmas,Michael Buble
26,Die For You,The Weeknd & Ariana Grande
27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
28,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
29,Little Saint Nick,The Beach Boys
30,Bad Habit,Steve Lacy
31,As It Was,Harry Styles
32,Run Rudolph Run,Chuck Berry
33,Wonderful Christmastime,Paul McCartney
34,Santa Claus Is Comin' To Town,Jackson 5
35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
37,This Christmas,Donny Hathaway
38,Cuff It,Beyonce
39,Under The Influence,Chris Brown
40,Happy Holiday / The Holiday Season,Andy Williams
41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
42,Something In The Orange,Zach Bryan
43,Please Come Home For Christmas,Eagles
44,Merry Christmas,Ed Sheeran & Elton John
45,Made You Look,Meghan Trainor
46,You Proof,Morgan Wallen
47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
48,Have Yourself A Merry Little Christmas,Michael Buble
49,Golden Hour,JVKE
50,Christmastime Is Here,Vince Guaraldi Trio
51,Super Freaky Girl,Nicki Minaj
52,Shirt,SZA
53,Just Wanna Rock,Lil Uzi Vert
54,Tomorrow 2,GloRilla & Cardi B
55,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
56,Thank God,Kane Brown With Katelyn Brown
57,Lift Me Up,Rihanna
58,Until I Found You,Stephen Sanchez
59,Nobody Gets Me,SZA
60,Someday At Christmas,Lizzo
61,Rock And A Hard Place,Bailey Zimmerman
62,Gato de Noche,Nengo Flow & Bad Bunny
63,Victoria's Secret,Jax
64,Lavender Haze,Taylor Swift
65,Low,SZA
66,Son Of A Sinner,Jelly Roll
67,Blind,SZA
68,What My World Spins Around,Jordan Davis
69,Wait In The Truck,HARDY Featuring Lainey Wilson
70,"Going, Going, Gone",Luke Combs
71,Heart Like A Truck,Lainey Wilson
72,Last Christmas,Lauren Spencer Smith
73,Blue Christmas,Kane Brown
74,Snooze,SZA
75,Escapism,RAYE Featuring 070 Shake
76,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande
77,Love Language,SZA
78,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
79,Calm Down,Rema & Selena Gomez
80,Whiskey On You,Nate Smith
81,Seek & Destroy,SZA
82,Hold Me Closer,Elton John & Britney Spears
83,Que Vuelvas,Carin Leon X Grupo Frontera
84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
85,Spin Bout U,Drake & 21 Savage
86,Used,SZA Featuring Don Toliver
87,Romantic Homicide,d4vd
88,Circo Loco,Drake & 21 Savage
89,Ghost In The Machine,SZA Featuring Phoebe Bridgers
90,Down Home,Jimmie Allen
91,Bebe Dame,Fuerza Regida X Grupo Frontera
92,Special,SZA
93,No Se Va,Grupo Frontera
94,Kid On Christmas,Pentatonix Featuring Meghan Trainor
95,One Thing At A Time,Morgan Wallen
96,Pick Me Up,Gabby Barrett
97,SOS,SZA
98,Forget Me,Lewis Capaldi
99,La Jumpa,Arcangel & Bad Bunny
100,Gone Girl,SZA
