rank,title,artist
1,Cruel Summer,Taylor Swift
2,Paint The Town Red,Doja Cat
3,Snooze,SZA
4,IDGAF,Drake Featuring Yeat
5,Monaco,Bad Bunny
6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
7,Fast Car,Luke Combs
8,First Person Shooter,Drake Featuring J. Cole
9,Last Night,Morgan Wallen
10,Thinkin' Bout Me,Morgan Wallen
11,Fukumean,Gunna
12,Vampire,Olivia Rodrigo
13,Dance The Night,Dua Lipa
14,Fina,Bad Bunny & Young Miko
15,Virginia Beach,Drake
16,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
17,Greedy,Tate McRae
18,Flowers,Miley Cyrus
19,Barbie World,Nicki Minaj & Ice Spice With Aqua
20,Perro Negro,Bad Bunny & Feid
21,Slime You Out,Drake Featuring SZA
22,Nadie Sabe,Bad Bunny
23,Need A Favor,Jelly Roll
24,Hibiki,Bad Bunny & Mora
25,Anti-Hero,Taylor Swift
26,Used To Be Young,Miley Cyrus
27,All My Life,Lil Durk Featuring J. Cole
28,Mr. October,Bad Bunny
29,Religiously,Bailey Zimmerman
30,Cybertruck,Bad Bunny
31,Watermelon Moonshine,Lainey Wilson
32,Telefono Nuevo,Bad Bunny & Luar La L
33,Dial Drunk,Noah Kahan With Post Malone
34,Baby Nueva,Bad Bunny
35,My Love Mine All Mine,Mitski
36,Kill Bill,SZA
37,Save Me,Jelly Roll With Lainey Wilson
38,Seda,Bad Bunny & Bryant Myers
39,Good Good,"Usher, Summer Walker & 21 Savage"
40,What Was I Made For?,Billie Eilish
41,What It Is (Block Boy),Doechii Featuring Kodak Black
42,Bad Idea Right?,Olivia Rodrigo
43,White Horse,Chris Stapleton
44,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
45,Daylight,David Kushner
46,Water,Tyla
47,Un Preview,Bad Bunny
48,Say My Grace,Offset Featuring Travis Scott
49,Gently,Drake Featuring Bad Bunny
50,Try That In A Small Town,Jason Aldean
51,I Know ?,Travis Scott
52,Gracias Por Nada,Bad Bunny
53,Vou 787,Bad Bunny
54,Where She Goes,Bad Bunny
55,Agora Hills,Doja Cat
56,Calling For You,Drake Featuring 21 Savage
57,Mercedes Carota,Bad Bunny & YOVNGCHIMI
58,Lil Boo Thang,Paul Russell
59,Single Soon,Selena Gomez
60,Daylight,Drake
61,Los Pits,Bad Bunny
62,Qlona,Karol G & Peso Pluma
63,8am In Charlotte,Drake
64,Rich Men North Of Richmond,Oliver Anthony Music
65,No Me Quiero Casar,Bad Bunny
66,What Would Pluto Do,Drake
67,Meltdown,Travis Scott Featuring Drake
68,Fear Of Heights,Drake
69,Bongos,Cardi B & Megan Thee Stallion
70,Vuelve Candy B,Bad Bunny
71,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
72,Peaches & Eggplants,Young Nudy Featuring 21 Savage
73,Great Gatsby,Rod Wave
74,Lose Control,Teddy Swims
75,Stick Season,Noah Kahan
76,Wild Ones,Jessie Murph & Jelly Roll
77,Strangers,Kenya Grace
78,Baticano,Bad Bunny
79,Get Him Back!,Olivia Rodrigo
80,Thunder y Lightning,Bad Bunny & Eladio Carrion
81,7969 Santa,Drake
82,Members Only,Drake Featuring PARTYNEXTDOOR
83,Acho PR,"Bad Bunny, Arcangel, De La Ghetto & Nengo Flow"
84,Bahamas Promises,Drake
85,Drew A Picasso,Drake
86,Tried Our Best,Drake
87,Hey Driver,Zach Bryan Featuring The War And Treaty
88,Amen,Drake Featuring Teezo Touchdown
89,All The Parties,Drake Featuring Chief Keef
90,500lbs,Lil Tecca
91,LaLa,Myke Towers
92,Worth It,Offset & Don Toliver
93,3D,Jung Kook & Jack Harlow
94,SkeeYee,Sexyy Red
95,Another Late Night,Drake Featuring Lil Yachty
96,Everything I Love,Morgan Wallen
97,On My Mama,Victoria Monet
98,Turks & Caicos,Rod Wave Featuring 21 Savage
99,Better Place,*NSYNC
100,Truck Bed,HARDY
