rank,title,artist
1,Last Night,Morgan Wallen
2,Fast Car,Luke Combs
3,Vampire,Olivia Rodrigo
4,Calm Down,Rema & Selena Gomez
5,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
6,Flowers,Miley Cyrus
7,Fukumean,Gunna
8,All My Life,Lil Durk Featuring J. Cole
9,Cruel Summer,Taylor Swift
10,Karma,Taylor Swift Featuring Ice Spice
11,Kill Bill,SZA
12,Snooze,SZA
13,Favorite Song,Toosii
14,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
15,Mine (Taylor's Version),Taylor Swift
16,Back To December (Taylor's Version),Taylor Swift
17,Need A Favor,Jelly Roll
18,Sure Thing,Miguel
19,Enchanted (Taylor's Version),Taylor Swift
20,Anti-Hero,Taylor Swift
21,Something In The Orange,Zach Bryan
22,Sparks Fly (Taylor's Version),Taylor Swift
23,Ella Baila Sola,Eslabon Armado X Peso Pluma
24,Die For You,The Weeknd & Ariana Grande
25,You Proof,Morgan Wallen
26,Dear John (Taylor's Version),Taylor Swift
27,Cupid,Fifty Fifty
28,Better Than Revenge (Taylor's Version),Taylor Swift
29,Religiously,Bailey Zimmerman
30,Thinkin' Bout Me,Morgan Wallen
31,Castles Crumbling (Taylor's Version) (From The Vault),Taylor Swift Featuring Hayley Williams
32,Dance The Night,Dua Lipa
33,Speak Now (Taylor's Version),Taylor Swift
34,When Emma Falls In Love (Taylor's Version) (From The Vault),Taylor Swift
35,Electric Touch (Taylor's Version) (From The Vault),Taylor Swift Featuring Fall Out Boy
36,Eyes Closed,Ed Sheeran
37,La Bebe,Yng Lvcas x Peso Pluma
38,Next Thing You Know,Jordan Davis
39,Mean (Taylor's Version),Taylor Swift
40,Foolish One (Taylor's Version) (From The Vault),Taylor Swift
41,Memory Lane,Old Dominion
42,The Story Of Us (Taylor's Version),Taylor Swift
43,Search & Rescue,Drake
44,Un x100to,Grupo Frontera X Bad Bunny
45,Thought You Should Know,Morgan Wallen
46,Dancin' In The Country,Tyler Hubbard
47,I'm Good (Blue),David Guetta & Bebe Rexha
48,Timeless (Taylor's Version) (From The Vault),Taylor Swift
49,Barbie World,Nicki Minaj & Ice Spice With Aqua
50,Haunted (Taylor's Version),Taylor Swift
51,Where She Goes,Bad Bunny
52,Bury Me In Georgia,Kane Brown
53,Long Live (Taylor's Version),Taylor Swift
54,Put It On Da Floor Again,Latto Featuring Cardi B
55,Chemical,Post Malone
56,Love You Anyway,Luke Combs
57,Last Kiss (Taylor's Version),Taylor Swift
58,Never Grow Up (Taylor's Version),Taylor Swift
59,Sabor Fresa,Fuerza Regida
60,Flooded The Face,Lil Uzi Vert
61,Area Codes,Kaliii
62,Tulum,Peso Pluma & Grupo Frontera
63,Innocent (Taylor's Version),Taylor Swift
64,Princess Diana,Ice Spice & Nicki Minaj
65,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
66,Super Shy,NewJeans
67,What It Is (Block Boy),Doechii Featuring Kodak Black
68,TQM,Fuerza Regida
69,Ours (Taylor's Version),Taylor Swift
70,Peaches & Eggplants,Young Nudy Featuring 21 Savage
71,Stand By Me,Lil Durk Featuring Morgan Wallen
72,Your Heart Or Mine,Jon Pardi
73,Daylight,David Kushner
74,Superman (Taylor's Version),Taylor Swift
75,"You, Me, & Whiskey",Justin Moore & Priscilla Block
76,Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
77,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
78,Oh U Went,Young Thug Featuring Drake
79,Mourning,Post Malone
80,Popular,"The Weeknd, Playboi Carti & Madonna"
81,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
82,Point Me 2,FendiDa Rappa With Cardi B
83,Watermelon Moonshine,Lainey Wilson
84,Bye,Peso Pluma
85,Luna,Peso Pluma & Junior H
86,Shake Sumn,DaBaby
87,Everything I Love,Morgan Wallen
88,TQG,Karol G x Shakira
89,Por Las Noches,Peso Pluma
90,LaLa,Myke Towers
91,Fragil,Yahritza y Su Esencia x Grupo Frontera
92,Lagunas,Peso Pluma & Jasiel Nunez
93,Rubicon,Peso Pluma
94,El Azul,Junior H x Peso Pluma
95,Cowgirls,Morgan Wallen Featuring ERNEST
96,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
97,See You Again,"Tyler, The Creator Featuring Kali Uchis"
98,Fight The Feeling,Rod Wave
99,Mojabi Ghost,Tainy & Bad Bunny
100,Waffle House,Jonas Brothers
