rank,title,artist
1,First Person Shooter,Drake Featuring J. Cole
2,IDGAF,Drake Featuring Yeat
3,Virginia Beach,Drake
4,Paint The Town Red,Doja Cat
5,Calling For You,Drake Featuring 21 Savage
6,Slime You Out,Drake Featuring SZA
7,Snooze,SZA
8,Daylight,Drake
9,Cruel Summer,Taylor Swift
10,Fear Of Heights,Drake
11,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
12,Gently,Drake Featuring Bad Bunny
13,Fast Car,Luke Combs
14,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
15,Amen,Drake Featuring Teezo Touchdown
16,7969 Santa,Drake
17,8am In Charlotte,Drake
18,What Would Pluto Do,Drake
19,Last Night,Morgan Wallen
20,Bahamas Promises,Drake
21,Tried Our Best,Drake
22,Vampire,Olivia Rodrigo
23,Fukumean,Gunna
24,Members Only,Drake Featuring PARTYNEXTDOOR
25,Thinkin' Bout Me,Morgan Wallen
26,All The Parties,Drake Featuring Chief Keef
27,Drew A Picasso,Drake
28,Dance The Night,Dua Lipa
29,Another Late Night,Drake Featuring Lil Yachty
30,Greedy,Tate McRae
31,Barbie World,Nicki Minaj & Ice Spice With Aqua
32,Away From Home,Drake
33,Flowers,Miley Cyrus
34,Need A Favor,Jelly Roll
35,Religiously,Bailey Zimmerman
36,BBL Love Interlude,Drake
37,Polar Opposites,Drake
38,Used To Be Young,Miley Cyrus
39,Bad Idea Right?,Olivia Rodrigo
40,Watermelon Moonshine,Lainey Wilson
41,Anti-Hero,Taylor Swift
42,Screw The World Interlude,Drake
43,Dial Drunk,Noah Kahan With Post Malone
44,Kill Bill,SZA
45,All My Life,Lil Durk Featuring J. Cole
46,What Was I Made For?,Billie Eilish
47,What It Is (Block Boy),Doechii Featuring Kodak Black
48,Good Good,"Usher, Summer Walker & 21 Savage"
49,Wild Ones,Jessie Murph & Jelly Roll
50,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
51,White Horse,Chris Stapleton
52,Daylight,David Kushner
53,Save Me,Jelly Roll With Lainey Wilson
54,My Love Mine All Mine,Mitski
55,Try That In A Small Town,Jason Aldean
56,I Know ?,Travis Scott
57,Rich Men North Of Richmond,Oliver Anthony Music
58,3D,Jung Kook & Jack Harlow
59,Meltdown,Travis Scott Featuring Drake
60,Qlona,Karol G & Peso Pluma
61,Agora Hills,Doja Cat
62,Single Soon,Selena Gomez
63,Water,Tyla
64,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
65,Peaches & Eggplants,Young Nudy Featuring 21 Savage
66,Lil Boo Thang,Paul Russell
67,Get Him Back!,Olivia Rodrigo
68,Great Gatsby,Rod Wave
69,Bongos,Cardi B & Megan Thee Stallion
70,Un Preview,Bad Bunny
71,Strangers,Kenya Grace
72,Hey Driver,Zach Bryan Featuring The War And Treaty
73,LaLa,Myke Towers
74,Stick Season,Noah Kahan
75,Lose Control,Teddy Swims
76,She Calls Me Back,Noah Kahan With Kacey Musgraves
77,Turks & Caicos,Rod Wave Featuring 21 Savage
78,Everything I Love,Morgan Wallen
79,Boyz Don't Cry,Rod Wave
80,Segun Quien,Maluma & Carin Leon
81,Truck Bed,HARDY
82,Better Place,*NSYNC
83,Sarah's Place,Zach Bryan Featuring Noah Kahan
84,SkeeYee,Sexyy Red
85,500lbs,Lil Tecca
86,El Amor de Su Vida,Grupo Frontera & Grupo Firme
87,Popular,"The Weeknd, Playboi Carti & Madonna"
88,Mi Ex Tenia Razon,Karol G
89,On My Mama,Victoria Monet
90,Can't Have Mine,Dylan Scott
91,Call Your Friends,Rod Wave
92,Tourniquet,Zach Bryan
93,Come See Me,Rod Wave
94,Standing Room Only,Tim McGraw
95,Deli,Ice Spice
96,God Gave Me A Girl,Russell Dickerson
97,Y Lloro,Junior H
98,Telekinesis,Travis Scott Featuring SZA & Future
99,Seven,Jung Kook Featuring Latto
100,Stars Like Confetti,Dustin Lynch
